首页,http://big5.sunnychina.com/,^/$
全国城市街道地标首页,http://big5.sunnychina.com/poi_city.html,^/poi_city\.html$
城市街道酒店列表,http://big5.sunnychina.com/hotel/poi_beijing_street/,^/poi_[a-z]+_street/$
城市街道酒店列表-Pn,http://big5.sunnychina.com/hotel/poi_beijing_street/P2.html,^/poi_[a-z]+_street/p\d+\.html$
城市+行政区街道酒店列表,http://big5.sunnychina.com/hotel/poi_beijing_chaoyang_street/,^/poi_[a-z]+_[a-z]+_street/$
城市+行政区街道酒店列表-Pn,http://big5.sunnychina.com/hotel/poi_beijing_chaoyang_street/p2.html,^/poi_[a-z]+_[a-z]+_street/p\d+\.html$
某大街附近酒店列表,http://big5.sunnychina.com/hotel/poi_beijing_chaoyang_street/9214407/,^/poi_[a-z]+_[a-z]+_street/\d+/$
某大街附近酒店列表-Pn,http://big5.sunnychina.com/hotel/poi_beijing_chaoyang_street/9214407/p2.html,^/poi_[a-z]+_[a-z]+_street/\d+/p\d+\.html$
产品详细页,http://big5.sunnychina.com/hotel/6205.html,^/hotel/\d+\.html$
酒店图片,http://big5.sunnychina.com/hotel/6205/image.html,^/hotel/\d+/image\.html$
酒店点评,http://big5.sunnychina.com/hotel/6205/review.html,^/hotel/\d+/review\.html$
交通地图,http://big5.sunnychina.com/hotel/6205/map.html,^/hotel/\d+/map\.html$
附近地标,http://big5.sunnychina.com/hotel/6205/poi.html,^/hotel/\d+/poi\.html$
,
酒店预订主页,http://big5.sunnychina.com/hotel/,^/hotel/$
城市酒店列表页,http://big5.sunnychina.com/hotel/beijing/,^/hotel/[a-z]+/$
城市酒店列表页-Pn,http://big5.sunnychina.com/hotel/beijing/p2.html,^/hotel/[a-z]+/p\d+\.html$
城市+行政区酒店列表,http://big5.sunnychina.com/hotel/beijing/chaoyang/,^/hotel/[a-z]+/[a-z]+/$
城市+行政区经济型酒店列表,http://big5.sunnychina.com/hotel/beijing/chaoyang/inn.html,^/hotel/[a-z]+/[a-z]+/inn\.html$
城市+行政区三星级酒店列表,http://big5.sunnychina.com/hotel/beijing/chaoyang/star3.html,^/hotel/[a-z]+/[a-z]+/star[3-5]\.html$,
城市+行政区某品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/chaoyang/brand1.html,^/hotel/[a-z]+/[a-z]+/brand\d+\.html$
城市+行政区酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/chaoyang/p2.html,^/hotel/[a-z]+/[a-z]+/p\d+\.html$
城市+商圈酒店列表,http://big5.sunnychina.com/hotel/beijing/center_123/,^/hotel/[a-z]+/center_\d+/$
城市+商圈经济型酒店列表,http://big5.sunnychina.com/hotel/beijing/center_123/inn.html,^/hotel/[a-z]+/center_\d+/inn\.html$
城市+商圈三星级酒店列表,http://big5.sunnychina.com/hotel/beijing/center_123/star3.html,^/hotel/[a-z]+/center_\d+/star_[3-5]\.html$
城市+商圈某品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/center_123/brand1.html,^/hotel/[a-z]+/center_\d+/brand\d+\.html$
城市+商圈酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/center_123/p2.html,^/hotel/[a-z]+/center_\d+/p\d+\.html$
城市+火车站酒店列表,http://big5.sunnychina.com/hotel/beijing/train_123/,^/hotel/[a-z]+/train_\d+/$
城市+火车站经济型酒店列表,http://big5.sunnychina.com/hotel/beijing/train_123/inn.html,^/hotel/[a-z]+/train_\d+/inn\.html$
城市+火车站三星级酒店列表,http://big5.sunnychina.com/hotel/beijing/train_123/star3.html,^/hotel/[a-z]+/train_\d+/star_[3-5]\.html$
城市+火车站某品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/train_123/brand1.html,^/hotel/[a-z]+/train_\d+/brand\d+\.html$
城市+火车站酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/train_123/p2.html,^/hotel/[a-z]+/train_\d+/p\d+\.html$
城市+机场酒店列表,http://big5.sunnychina.com/hotel/beijing/airport_123/,^/hotel/[a-z]+/airport_\d+/$
城市+机场经济型酒店列表,http://big5.sunnychina.com/hotel/beijing/airport_123/inn.html,^/hotel/[a-z]+/airport_\d+/inn\.html$
城市+机场三星级酒店列表,http://big5.sunnychina.com/hotel/beijing/airport_123/star3.html,^/hotel/[a-z]+/airport_\d+/star_[3-5]\.html$
城市+机场某品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/airport_123/brand1.html,^/hotel/[a-z]+/airport_\d+/brand\d+\.html$
城市+机场酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/airport_123/p2.html,^/hotel/[a-z]+/airport_\d+/p\d+\.html$
城市+大学酒店列表,http://big5.sunnychina.com/hotel/beijing/college_123/,^/hotel/[a-z]+/college_\d+/$
城市+大学经济型酒店列表,http://big5.sunnychina.com/hotel/beijing/college_123/inn.html,^/hotel/[a-z]+/college_\d+/inn\.html$
城市+大学三星级酒店列表,http://big5.sunnychina.com/hotel/beijing/college_123/star3.html,^/hotel/[a-z]+/college_\d+/star_[3-5]\.html$
城市+大学某品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/college_123/brand1.html,^/hotel/[a-z]+/college_\d+/brand\d+\.html$
城市+大学酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/college_123/P2.html,^/hotel/[a-z]+/college_\d+/p\d+\.html$
城市+医院酒店列表,http://big5.sunnychina.com/hotel/beijing/hospital_123/,^/hotel/[a-z]+/hospital_\d+/$
城市+医院经济型酒店列表,http://big5.sunnychina.com/hotel/beijing/hospital_123/inn.html,^/hotel/[a-z]+/hospital_\d+/inn\.html$
城市+医院三星级酒店列表,http://big5.sunnychina.com/hotel/beijing/hospital_123/star3.html,^/hotel/[a-z]+/hospital_\d+/star_[3-5]\.html$
城市+医院某品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/hospital_123/brand1.html,^/hotel/[a-z]+/hospital_\d+/brand\d+\.html$
城市+医院酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/hospital_123/p2.html,^/hotel/[a-z]+/hospital_\d+/p\d+\.html$
城市+景点酒店列表,http://big5.sunnychina.com/hotel/beijing/scenic_123/,^/hotel/[a-z]+/spot_\d+/$
城市+景点经济型酒店列表,http://big5.sunnychina.com/hotel/beijing/scenic_123/inn.html,^/hotel/[a-z]+/spot_\d+/inn\.html$
城市+景点三星级酒店列表,http://big5.sunnychina.com/hotel/beijing/scenic_123/star3.html,^/hotel/[a-z]+/spot_\d+/star_[3-5]\.html$
城市+景点某品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/scenic_123/brand1.html,^/hotel/[a-z]+/spot_\d+/brand\d+\.html$
城市+景点酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/scenic_123/p2.html,^/hotel/[a-z]+/spot_\d+/p\d+\.html$
城市+地铁线酒店列表,http://big5.sunnychina.com/hotel/beijing/metroline_123/,^/hotel/[a-z]+/metroline_\d+/$
城市+地铁线经济型酒店列表,http://big5.sunnychina.com/hotel/beijing/metroline_123/inn.html,^/hotel/[a-z]+/metroline_\d+/inn\.html$
城市+地铁线三星级酒店列表,http://big5.sunnychina.com/hotel/beijing/metroline_123/star3.html,^/hotel/[a-z]+/metroline_\d+/star_[3-5]\.html$
城市+地铁线某品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/metroline_123/brand1.html,^/hotel/[a-z]+/metroline_\d+/brand\d+\.html$
城市+地铁线酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/metroline_123/p2.html,^/hotel/[a-z]+/metroline_\d+/p\d+\.html$
城市+地铁站酒店列表,http://big5.sunnychina.com/hotel/beijing/metro_123/,^/hotel/[a-z]+/metro_\d+/$
城市+地铁站经济型酒店列表,http://big5.sunnychina.com/hotel/beijing/metro_123/inn.html,^/hotel/[a-z]+/metro_\d+/inn\.html$
城市+地铁站三星级酒店列表,http://big5.sunnychina.com/hotel/beijing/metro_123/star3.html,^/hotel/[a-z]+/metro_\d+/star_[3-5]\.html$
城市+地铁站某品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/metro_123/brand1.html,^/hotel/[a-z]+/metro_\d+/brand\d+\.html$
城市+地铁站酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/metro_123/p2.html,^/hotel/[a-z]+/metro_\d+/p\d+\.html$
城市+品牌酒店列表,http://big5.sunnychina.com/hotel/beijing/brand_homeinns/,^/hotel/[a-z]+/brand_[a-z\d_-]+/$
城市+品牌酒店列表-Pn,http://big5.sunnychina.com/hotel/beijing/brand_homeinns/p2.html,^/hotel/[a-z]+/brand_[a-z\d_-]+/p\d+\.html$
产品详细页,http://big5.sunnychina.com/hotel/6205.html,^/hotel/\d+\.html$
酒店图片,http://big5.sunnychina.com/hotel/6205/image.html,^/hotel/\d+/image\.html$
酒店点评,http://big5.sunnychina.com/hotel/6205/review.html,^/hotel/\d+/review\.html$
交通地图,http://big5.sunnychina.com/hotel/6205/map.html,^/hotel/\d+/map\.html$
附近地标,http://big5.sunnychina.com/hotel/6205/poi.html,^/hotel/\d+/poi\.html$
,
连锁酒店首页,http://big5.sunnychina.com/hotel/kuaijie/,^/hotel/kuaijie/$
品牌酒店索引,http://big5.sunnychina.com/hotel/chain_1/,^/hotel/chain_\d+/$
城市连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/,^/hotel/chain+\d+/[a-z]+/$
城市连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/P2.html,^/hotel/chain+\d+/[a-z]+/p\d+\.html$
城市行政区连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/chaoyang/,^/hotel/chain+\d+/[a-z]+/[a-z]+/$
城市行政区连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/chaoyang/p2.html,^/hotel/chain+\d+/[a-z]+/[a-z]+/p\d+\.html$
城市商圈连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/center_123/,^/hotel/chain+\d+/[a-z]+/center_\d+/$
城市商圈连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/center_123/p2.html,^/hotel/chain+\d+/[a-z]+/center_\d+/p\d+\.html$
城市火车站连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/train_123/,^/hotel/chain+\d+/[a-z]+/train_\d+/$
城市火车站连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/train_123/p2.html,^/hotel/chain+\d+/[a-z]+/train_\d+/p\d+\.html$
城市机场连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/airport_123/,^/hotel/chain+\d+/[a-z]+/airport_\d+/$
城市机场连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/airport_123/p2.html,^/hotel/chain+\d+/[a-z]+/airport_\d+/p\d+\.html$
城市大学连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/college_123/,^/hotel/chain+\d+/[a-z]+/college_\d+/$
城市大学连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/college_123/p2.html,^/hotel/chain+\d+/[a-z]+/college_\d+/p\d+\.html$
城市景点连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/scenic_123/,^/hotel/chain+\d+/[a-z]+/spot_\d+/$
城市景点连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/scenic_123/p2.html,^/hotel/chain+\d+/[a-z]+/spot_\d+/p\d+\.html$
城市医院连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/hospital_123/,^/hotel/chain+\d+/[a-z]+/hospital_\d+/$
城市医院连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/hospital_123/p2.html,^/hotel/chain+\d+/[a-z]+/hospital_\d+/p\d+\.html$
城市地铁线连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/metroline_123/,^/hotel/chain+\d+/[a-z]+/metroline_\d+/$
城市地铁线连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/metroline_123/p2.html,^/hotel/chain+\d+/[a-z]+/metroline_\d+/p\d+\.html$
城市地铁站连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/metro_123/,^/hotel/chain+\d+/[a-z]+/metro_\d+/$
城市地铁站连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/metro_123/p2.html,^/hotel/chain+\d+/[a-z]+/metro_\d+/p\d+\.html$
产品详细页,http://big5.sunnychina.com/hotel/6205.html,^/hotel/\d+\.html$
酒店图片,http://big5.sunnychina.com/hotel/6205/image.html,^/hotel/\d+/image\.html$
酒店点评,http://big5.sunnychina.com/hotel/6205/review.html,^/hotel/\d+/review\.html$
交通地图,http://big5.sunnychina.com/hotel/6205/map.html,^/hotel/\d+/map\.html$
附近地标,http://big5.sunnychina.com/hotel/6205/poi.html,^/hotel/\d+/poi\.html$
